S2,Band gap(eV),Reference Folder,Sample Folder
0.0606,-1.1014,mbe_group,wpi160
0.1249,-0.8929,mbe_group,wpi159
0.4002,0.009115,mbe_group,wpi158
0.5257,0.4228,mbe_group,wpi154
0.4558,0.6557,mbe_group,wpi153
0.3162,0.3177,mbe_group,wpi152
0.3905,0.4926,mbe_group,wpi151
0.5643,0.5437,mbe_group,wpi150
0.4076,2.383,mbe_group,p50
0.4505,2.125,mbe_group,p36
