S2,Band gap(eV),Reference Folder,Sample Folder
0.4652,1.6207,dinnocenzo_2014,a
0.5208,1.60446,dinnocenzo_2014,b
0.5257,1.603,dinnocenzo_2014,c
0.5369,1.600,dinnocenzo_2014,d
0.5484,1.596,dinnocenzo_2014,e
0.5693,1.589,dinnocenzo_2014,f
