Temperature (K),Magnitude of Band gap (eV),Band gap (eV)
300	0.073237508315765	-0.073237508315765
233	0.064121062168756	-0.064121062168756
210	0.06216295603136	-0.06216295603136
180	0.055402104105038	-0.055402104105038
160	0.052769127243064	-0.052769127243064
140	0.051577000739825	-0.051577000739825
120	0.048290044526699	-0.048290044526699
100	0.047332137097279	-0.047332137097279
80	0.045445669179877	-0.045445669179877
70	0.043027147156522	-0.043027147156522
60	0.042962854397608	-0.042962854397608
50	0.041586384783399	-0.041586384783399
40	0.041852894197132	-0.041852894197132
30	0.040826265237359	-0.040826265237359
20	0.040444383022033	-0.040444383022033
10	0.040964923562301	-0.040964923562301
