S2,Band gap(eV),Reference Folder,Sample Folder
0.0199,3.41,lacklison_1995,hex_film
0.4201,3.44,mbe_group,212
0.4451,3.35,mbe_group,205
0.3032,2.573,mbe_group,33
0.2915,2.592,mbe_group,32
0.5296,-2.5151,mbe_group,31
0.4736,-2.5514,mbe_group,30
0.2685,-2.572,mbe_group,28
0.4804,2.552,mbe_group,27
0.2564,-2.559,mbe_group,26
0.4693,2.48,mbe_group,21
